id;escola;coordenadoria_id;turno;escola_id;serie;turno_id
270;EE Angelina Palheta Mendes;15;Matutino;104;;
271;EE Pe Joao Badalotti;15;Vespertino;104;;
272;EE Sao Francisco de Sales;15;Noturno;104;;
273;EE Prof. Octaviano Cardoso;16;Matutino;105;;
274;EE Padre Seixas;16;Vespertino;105;;
275;EE Antonio Belchior Cabral;16;Noturno;105;;
276;EETI Profª Maria Belem;16;Matutino;106;;
277;EE Senador Joao Bosco;16;Vespertino;106;;
278;EE Nilo Pereira;16;Noturno;106;;
279;EE Julio Cesar da Costa;16;Integral;107;;
280;EE Jacy Dutra;16;Matutino;108;;
281;EE Coronel Raymundo Cunha;17;Vespertino;108;;
282;EE Nossa Senhora da Imaculada Conceicao;17;Noturno;108;;
283;EE Profa. Rosa Cruz;17;Matutino;109;;
284;EE Indigena Cacique Manuel Florentino Mecuracu;17;Vespertino;109;;
285;EE Indigena Prof. Gildo Sampaio Megatanucu;17;Noturno;109;;
286;EE Indigena Profª. Daria Gabriel Quirino;17;Integral;110;;
287;CETI Prof. Aristelio Sabino de Oliveira;17;Integral;111;;
288;EE Getulio Vargas;18;Matutino;112;;
289;EE Prof. Gilberto Mestrinho;18;Vespertino;112;;
290;EETI Euclides Correa Vieira;18;Noturno;112;;
291;EE Senador Jose Esteves;19;Matutino;113;;
292;EE Prof. Raimundo Benedito Costa;19;Vespertino;113;;
293;EE Darcy Augusto Michiles;19;Noturno;113;;
294;EE Profa. Gercilia Barbosa Sampaio;19;Matutino;114;;
295;EE Almirante Barroso;20;Vespertino;114;;
296;EE Barao de Boca do Acre;20;Noturno;114;;
297;EE Cel Jose de Assuncao;20;Matutino;115;;
298;EETI Danilo Correa;20;Vespertino;115;;
299;EE Jacinto Ale;20;Noturno;115;;
300;EE Joao Gabriel;20;Matutino;116;;
301;EE Jose Leite;20;Vespertino;116;;
302;EE Lucas Pena;20;Noturno;116;;
303;EE N.ª S.ª Aparecida;20;Matutino;117;;
304;EETI Prof. Antonio Jose Bernardo Vasconcelos;20;Vespertino;117;;
305;CETI Boca do Acre;20;Noturno;117;;
306;EETI Balbina Mestrinho;21;Matutino;118;;
307;EE Benedito Gumercindo de Souza;21;Vespertino;118;;
308;EE Conego Bento Jose de Souza;21;Noturno;118;;
309;EE Joao Ferreira da Fonseca;21;Matutino;119;;
310;EE Lothar Sussman;21;Vespertino;119;;
311;EE Monsenhor Coutinho;21;Noturno;119;;
312;EE Nossa Senhora do Rosario;21;Matutino;120;;
313;EE Prof. Lourenco Rodrigues da Motta;21;Vespertino;120;;
314;EE Senador Alvaro Maia;21;Noturno;120;;
315;EE Indigena Ester Caldeira Cardoso;21;Matutino;121;;
316;EE Indigena Laranjal;21;Vespertino;121;;
317;EE Indigena Agostinho de Goes;21;Noturno;121;;
318;CETI Jose Holanda Cavalcante;21;Matutino;122;;
